id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiami0(mg);Riboflavi0(mg);Piridoxi0(mg);Niaci0(mg);Vitami0_C(mg)
341;0.0;164;1.6;39;245;0.04;4.4;3;3;3;0.14;0.08;0.0;2.68;
342;0.01;252;2.8;51;383;0.08;6.7;0.0;0.0;0.0;0.0;0.19;0.17;2.75;
343;0.01;164;1.3;44;285;0.04;2.8;4;4;4;0.11;0.08;0.03;3.79;
344;0.0;219;2.4;57;352;0.09;4.8;0.0;0.0;0.0;0.0;0.18;0.13;4.91;
345;0.0;184;1.7;53;335;0.05;3.2;0.0;0.0;0.0;0.0;0.20;0.0;4.64;
346;0.0;241;2.4;58;386;0.09;5.1;0.0;0.0;0.0;0.0;0.17;0.16;4.93;
347;0.0;179;2.2;92;270;0.08;5.5;0.0;0.0;0.0;0.0;0.08;0.35;0.56;
348;0.0;130;1.2;70;151;0.0;2.7;5;5;5;0.12;0.11;0.0;5.99;
349;0.0;189;1.7;41;252;0.07;5.0;2;2;2;0.0;0.0;0.0;3.26;
350;0.0;189;1.9;49;358;0.05;2.8;2;2;2;0.12;0.20;0.0;4.38;
351;0.0;183;2.6;44;239;0.11;4.7;2;2;2;0.0;0.0;0.0;4.09;
352;0.0;175;1.9;61;335;0.05;2.6;3;3;3;0.12;0.19;0.0;2.32;
353;0.0;212;2.7;72;321;0.08;5.3;0.0;0.0;0.0;0.0;0.08;0.14;2.16;
354;0.0;220;1.1;47;151;0.03;2.4;3;3;3;0.11;0.05;0.03;3.33;
355;0.26;334;5.6;76;265;9.01;3.5;7937;7937;7937;0.14;0.90;0.0;10.66;
356;0.22;420;5.8;82;309;12.58;4.0;14574;14574;14574;0.21;2.69;0.0;11.92;
357;0.01;193;1.9;49;322;0.08;2.8;4;4;4;0.12;0.10;0.04;1.78;
358;0.02;308;2.9;58;326;0.14;4.1;0.0;0.0;0.0;0.03;0.08;0.05;4.27;
359;0.0;181;2.8;42;249;0.07;5.6;2;2;2;0.0;0.0;0.0;2.32;
360;0.0;167;1.6;54;324;0.05;4.5;2;2;2;0.11;0.16;0.0;3.28;
361;0.0;161;2.0;39;207;0.07;6.5;0.0;0.0;0.0;0.0;0.05;0.07;1.61;
362;0.00;131;1.5;51;274;0.04;4.2;5;5;5;0.08;0.07;0.03;3.56;
363;0.0;167;1.9;48;254;0.05;7.0;3;3;3;0.0;0.0;0.0;2.55;
364;0.0;185;1.3;54;362;0.05;2.4;2;2;2;0.10;0.14;0.03;2.19;
365;0.01;136;2.1;59;175;0.08;4.1;0.0;0.0;0.0;0.0;0.08;0.0;1.83;
